Incident_Type,Report_Number,Reported,Occurred,Location,Location_Type,Crime_Type,Narrative,Disposition
Larceny,17-27867,11/15/17 08:58,11/10/2017 23:00 - 11/14/2017 08:00,14 South Avenue (Phi Sigma Sigma sorority),In dormitories or other residential facilities for students on campus,NA,Officer dispatched to take a report from a student regarding the theft of five framed pictures from the basement common area.,Closed
Larceny,17-27868,11/15/17 09:00,10/20/2017 07:00 - 11/15/2017 07:00,Bartels Hall,On campus,NA,Officer dispatched to take a report from a student regarding the theft of a pair of Beats head phones from the men's soccer team secured locker room. Value: $300.00,Pending
Larceny,17-27869,11/15/17 09:31,10/20/2017 07:00 - 11/15/2017 09:00,Bartels Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of cash from the men's soccer team secured locker room. Value: $250.00,Pending
Criminal Mischief,17-27870,11/15/17 09:40,11/14/2017 07:00 - 11/14/2017 15:00,Alice Cook House,In dormitories or other residential facilities for students on campus,NA,Office dispatched to take a report from a staff member regarding an unknown individual(s) damaging a HP printer.,Closed
Criminal Mischief,17-27871,11/15/17 10:38,11/14/2017 18:00 - 11/15/2017 10:38,Baldwin Memorial Stairs,On campus,NA,Officer dispatched to take a report from a staff member regarding graffiti painted on the stairway.,Closed
Criminal Mischief,17-27897,11/15/17 19:44,11/15/2017 17:10 - 11/15/2017 19:10,Collyer Boat House,On campus,NA,Officer dispatched to take a report from a staff member regarding an unknown individual(s) breaking the driver side rear window on their parked vehicle and removing an empty purse.,Closed
Disorderly Conduct,17-23877,9/29/17 02:16,09/29/2017 02:16 - 09/29/2017 02:16,Mews Hall,In dormitories or other residential facilities for students on campus,AL,An individual eligible for youthful offender status has been referred to Ithaca City Court.,Arrest 1
Larceny,17-23903,9/29/17 11:06,09/29/2017 11:06 - 09/29/2017 11:06,120 Maple Avenue,On campus,NA,Officer dispatched to take a report from a staff member regarding the theft of their unsecured wedding rings from a second floor bathroom. Value: $2000.00,Closed
Trespass,17-23906,9/29/17 12:41,09/29/2017 12:41 - 09/29/2017 12:41,Plant Science,On campus,NA,Two individuals have been referred to the Judicial Administrator.,Arrest 3
Agency Assistance,17-23921,9/29/17 22:17,09/29/2017 22:17 - 09/29/2017 22:17,Cascadilla Hall,In dormitories or other residential facilities for students on campus,NA,Cornell University Police assisted the Ithaca Police Department with the serving of a subpoena.,Closed
Agency Assistance,17-23945,9/29/17 23:59,09/29/2017 23:59 - 09/29/2017 23:59,800 University Avenue (Theta Delta Chi fraternity),In or on a non-campus building or property,NA,Cornell University Police assisted the Ithaca Police Department with a reported medical emergency.,Closed
Alcohol Offense,17-23947,9/30/17 00:10,09/30/2017 00:10 - 09/30/2017 00:10,Robert Purcell Community Center,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Criminal Impersonation,17-23953,9/30/17 01:08,09/30/2017 01:08 - 09/30/2017 01:08,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual eligible for youthful offender status has been referred to Ithaca City Court.,Arrest 1
Alcohol Offense,17-23957,9/30/17 02:30,09/30/2017 02:30 - 09/30/2017 02:30,Just About Music (JAM),In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23979,9/30/17 13:59,09/30/2017 13:59 - 09/30/2017 13:59,Schoellkopf Field,On campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-24007,9/30/17 23:17,09/30/2017 21:30 - 09/30/2017 23:17,Bailey Hall,On campus,NA,"Officer dispatched to take a report from a student regarding the theft of their unsecured jacket, wallet, CUID, IL driver's license and bankcards. All property was recovered intact. Value: $85.00",Closed
Alcohol Offense,17-24016,10/1/17 01:51,10/01/2017 01:51 - 10/01/2017 01:51,625 University Avenue (Alice Cook House),In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-24017,10/1/17 01:58,10/01/2017 01:58 - 10/01/2017 01:58,Mary Donlon Hall,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-23750,9/27/17 13:03,09/25/2017 22:00 - 09/25/2017 23:00,Bauer Hall,In dormitories or other residential facilities for students on campus,NA,"Officer dispatched to take a report from a student regarding the theft of their unsecured wallet, bankcards, keys, Loui Vuitton purse and CA driver's license from the 1st floor laundry room. Value: $475.00",Closed
Larceny,17-23755,9/27/17 14:53,09/27/2017 14:53 - 09/27/2017 14:53,The Cornell Store,On campus,NA,An individual has been referred to the Judicial Administrator.,Arrest 3
Fraud,17-23583,9/25/17 22:01,09/25/2017 22:01 - 09/25/2017 22:01,Barton Hall,On campus,NA,Officer dispatched to take a report from a student that was a victim of a fraudulent IRS scam.,Closed
Criminal Mischief,17-23288,9/22/17 08:45,09/21/2017 16:30 - 09/22/2017 07:30,Malott Hall,On campus,NA,Officer dispatched to take a report from a staff member regarding an exterior door with cracked glass. Value: $100.00,Closed
Agency Assistance,17-23301,9/22/17 12:22,09/22/2017 12:22 - 09/22/2017 12:22,MVR Hall,On campus,NA,Cornell University Police assisted the Tompkins County Sheriff's Department with a motor vehicle repossession.,Closed
Agency Assistance,17-23315,9/22/17 16:05,09/22/2017 16:05 - 09/22/2017 16:05,Barton Hall,On campus,NA,Cornell University Police assisted the Ithaca Police Department with reported found property.,Closed
Alcohol Offense,17-23336,9/22/17 22:52,09/22/2017 22:52 - 09/22/2017 22:52,Townhouse D,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23340,9/22/17 23:45,09/22/2017 23:45 - 09/22/2017 23:45,107 Edgemoor Lane,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23343,9/22/17 23:59,09/22/2017 23:59 - 09/22/2017 23:59,107 Edgemoor Lane,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23352,9/23/17 01:21,09/23/2017 01:21 - 09/23/2017 01:21,Baker South,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23353,9/23/17 01:20,09/23/2017 01:20 - 09/23/2017 01:20,112 Edgemoor Lane,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Alcohol Offense,17-23358,9/23/17 02:50,09/23/2017 02:50 - 09/23/2017 02:50,Low Rise 7,In dormitories or other residential facilities for students on campus,AL,An individual has been referred to the Judicial Administrator.,Arrest 3
Larceny,17-23378,9/23/17 09:39,09/22/2017 21:00 - 09/22/2017 23:00,623 University Avenue (Von Cramm Hall),In dormitories or other residential facilities for students on campus,NA,"Officer dispatched to take a report from a student regarding the theft of their unsecured Coach wallet, NH driver's license, bankcards, ID card and cash.",Closed
